"Project ID","Project Name","Status","Points","Requirement Scope","Requirement Group","Requirement Title","Requirement Description","Weight (%)","Points (calculated)"
"2e26e5c6-bc43-422c-a343-806658c6f5c0","project-1","draft","20","Common","Model danych, Repository i JdbcTemplate","","Encje z @Entity, @Id, @GeneratedValue, @Column. Relacje @OneToMany/@ManyToOne z @JoinColumn, @ManyToMany z @JoinTable. ","4","0.8"
"2e26e5c6-bc43-422c-a343-806658c6f5c0","project-1","draft","20","Common","Model danych, Repository i JdbcTemplate","","Repository rozszerzające JpaRepository<T, ID> z custom query methods (findBy... lub @Query). Pageable support (Page<T>) dla paginacji. Konfiguracja w application.yml (datasource, jpa, hibernate). Używanie plików .sql do inicjalizacji bazy/danych","5","1"
"2e26e5c6-bc43-422c-a343-806658c6f5c0","project-1","draft","20","Common","Model danych, Repository i JdbcTemplate","","JdbcTemplate jako dependency. Zapytania SELECT z query() i RowMapper. Operacje INSERT/UPDATE/DELETE z update(). Użycie w serwisie lub dedykowanym DAO.","5","1"
"2e26e5c6-bc43-422c-a343-806658c6f5c0","project-1","draft","20","Common","REST API","","@RestController z @RequestMapping(""/api/v1/...""). GET (lista z paginacją, single), POST (tworzenie), PUT (aktualizacja), DELETE. @PathVariable, @RequestBody, @RequestParam. ResponseEntity z kodami HTTP (200, 201, 204, 400, 404).","7","1.4"
"2e26e5c6-bc43-422c-a343-806658c6f5c0","project-1","draft","20","Common","REST API","","Springdoc OpenAPI i Swagger UI dostępny pod /swagger-ui.html. Poprawna dokumentacja endpointów.","5","1"
"2e26e5c6-bc43-422c-a343-806658c6f5c0","project-1","draft","20","Common","Warstwa aplikacji - Business Logic","","@Service, @Transactional(readOnly = true/false). Dependency injection przez konstruktor. Mapowanie Entity ↔ DTO. Własne wyjątki (ResourceNotFoundException). @RestControllerAdvice + @ExceptionHandler dla globalnej obsługi błędów.","3","0.6"
"2e26e5c6-bc43-422c-a343-806658c6f5c0","project-1","draft","20","Common","Warstwa aplikacji - Business Logic","","Walidacja w DTO: @NotNull, @NotBlank, @Size, @Email, @Valid. Bean Validation na poziomie kontrolera i serwisu. Spójne komunikaty błędów.","3","0.6"
"2e26e5c6-bc43-422c-a343-806658c6f5c0","project-1","draft","20","Common","Warstwa aplikacji - Business Logic","","@Controller z Model i @ModelAttribute. Widoki z th:each (listy), th:object/th:field (formularze). Wyświetlanie błędów (th:errors). Layout z fragmentami (th:fragment, th:replace). Bootstrap 5 styling.","3","0.6"
"2e26e5c6-bc43-422c-a343-806658c6f5c0","project-1","draft","20","Common","Warstwa aplikacji - Business Logic","","Upload plików (MultipartFile, enctype=""multipart/form-data""). Zapis na dysk (Files.copy). Download plików (Resource, ResponseEntity<byte[]>). Export do CSV/PDF.","3","0.6"
"2e26e5c6-bc43-422c-a343-806658c6f5c0","project-1","draft","20","Common","Spring Security","","SecurityFilterChain jako @Bean. authorizeHttpRequests z requestMatchers do kontroli dostępu. formLogin z konfiguracją. BCryptPasswordEncoder dla szyfrowania haseł. UserDetailsService z loadUserByUsername.","4","0.8"
"2e26e5c6-bc43-422c-a343-806658c6f5c0","project-1","draft","20","Common","Testowanie","","@DataJpaTest dla testowania repository. Min. 10 testów CRUD. RowMapper i custom queries.","2","0.4"
"2e26e5c6-bc43-422c-a343-806658c6f5c0","project-1","draft","20","Common","Testowanie","","@Mock, @InjectMocks, Mockito: when().thenReturn(), verify(). Unit testy dla logiki biznesowej.","3","0.6"
"2e26e5c6-bc43-422c-a343-806658c6f5c0","project-1","draft","20","Common","Testowanie","","@WebMvcTest lub @SpringBootTest dla controllerów REST. MockMvc: perform(), andExpect(). @WithMockUser dla testów Security. Min. 5 scenariuszy biznesowych.","2","0.4"
"2e26e5c6-bc43-422c-a343-806658c6f5c0","project-1","draft","20","Common","Testowanie","","JaCoCo - coverage 70%+. Raport z pokryciem kodu. Testy obejmują Happy Path i Error Cases.","1","0.2"
"2e26e5c6-bc43-422c-a343-806658c6f5c0","project-1","draft","20","Specific","Project-specific","","Tabela Tasks: id, title, description, status (TODO/IN_PROGRESS/DONE), dueDate, categoryId, createdAt, updatedAt. Tabela Categories: id, name, color. Relacja ManyToOne między Tasks i Categories przez @JoinColumn.","13","2.6"
"2e26e5c6-bc43-422c-a343-806658c6f5c0","project-1","draft","20","Specific","Project-specific","","Endpointy: GET /api/tasks (z filtrowaniem po status i categoryId), GET /api/tasks/{id}, POST /api/tasks (tworzenie), PUT /api/tasks/{id} (zmiana statusu i edycja), DELETE /api/tasks/{id}. Odpowiednie kody HTTP.","10","2"
"2e26e5c6-bc43-422c-a343-806658c6f5c0","project-1","draft","20","Specific","Project-specific","","Endpointy: GET /api/categories, POST /api/categories, PUT /api/categories/{id}, DELETE /api/categories/{id}. Cascading delete - usunięcie kategorii zmienia categoryId na NULL w taskach.","7","1.4"
"2e26e5c6-bc43-422c-a343-806658c6f5c0","project-1","draft","20","Specific","Project-specific","","Strona główna z listą zadań (th:each), filtrami po status i kategorii. Formularz dodawania/edycji zadania z dropdown kategorii. Bootstrap 5 styling dla responsywności.","7","1.4"
"2e26e5c6-bc43-422c-a343-806658c6f5c0","project-1","draft","20","Specific","Project-specific","","Endpoint GET /api/tasks/export/csv zwracający plik CSV ze wszystkimi zadaniami. Dashboard z licznikami: Razem, TODO, In Progress, Done. Procent wykonania zadań.","7","1.4"
"2e26e5c6-bc43-422c-a343-806658c6f5c0","project-1","draft","20","Specific","Project-specific","","Wyszukiwanie po tytule (LIKE query z @Query). Filtry: po status, kategorii, dacie deadline (before/after). Sortowanie po dacie lub statusie. Paginacja po 10 zadań.","6","1.2"